data,descricao,categoria,valor,tipo
2025-04-21,Combustivel,transporte,102.00,saida
2025-04-22,Farmacia,saude,59.00,saida
2025-04-22,Cafe,alimentacao,23.00,saida
2025-04-22,Freelance,receita,1029.00,entrada
2025-04-23,Academia,saude,95.00,saida
2025-04-24,Aluguel,moradia,1203.00,saida
2025-04-25,Energia,moradia,200.00,saida
2025-04-26,Internet,moradia,127.00,saida
2025-04-27,Streaming,lazer,26.00,saida
2025-04-28,Cinema,lazer,42.00,saida
2025-04-29,Curso Online,educacao,86.00,saida
2025-04-29,Manutencao Casa,moradia,137.00,saida
2025-04-30,Supermercado,alimentacao,188.00,saida
2025-05-01,Restaurante,alimentacao,110.00,saida
2025-05-02,Uber,transporte,27.00,saida
2025-05-03,Combustivel,transporte,112.00,saida
2025-05-04,Farmacia,saude,69.00,saida
2025-05-05,Academia,saude,105.00,saida
2025-05-06,Aluguel,moradia,1213.00,saida
2025-05-06,Taxi,transporte,26.00,saida
2025-05-06,Salario,receita,4983.00,entrada
2025-05-07,Energia,moradia,173.00,saida
2025-05-08,Internet,moradia,100.00,saida
2025-05-09,Streaming,lazer,36.00,saida
2025-05-10,Cinema,lazer,52.00,saida
2025-05-11,Curso Online,educacao,96.00,saida
2025-05-12,Supermercado,alimentacao,198.00,saida
2025-05-13,Restaurante,alimentacao,83.00,saida
2025-05-13,Livro,educacao,66.00,saida
2025-05-14,Uber,transporte,37.00,saida
2025-05-15,Combustivel,transporte,122.00,saida
2025-05-16,Farmacia,saude,79.00,saida
2025-05-17,Academia,saude,115.00,saida
2025-05-18,Aluguel,moradia,1186.00,saida
2025-05-19,Energia,moradia,183.00,saida
2025-05-20,Internet,moradia,110.00,saida
2025-05-20,Padaria,alimentacao,25.00,saida
2025-05-20,Bonus,receita,1937.00,entrada
2025-05-21,Streaming,lazer,46.00,saida
2025-05-22,Cinema,lazer,62.00,saida
2025-05-23,Curso Online,educacao,69.00,saida
2025-05-24,Supermercado,alimentacao,171.00,saida
2025-05-25,Restaurante,alimentacao,93.00,saida
2025-05-26,Uber,transporte,47.00,saida
2025-05-27,Combustivel,transporte,132.00,saida
2025-05-27,Cafe,alimentacao,9.00,saida
2025-05-28,Farmacia,saude,52.00,saida
2025-05-29,Academia,saude,88.00,saida
2025-05-30,Aluguel,moradia,1196.00,saida
2025-05-31,Energia,moradia,193.00,saida
2025-06-01,Internet,moradia,120.00,saida
2025-06-02,Streaming,lazer,56.00,saida
2025-06-03,Cinema,lazer,35.00,saida
2025-06-03,Manutencao Casa,moradia,144.00,saida
2025-06-03,Freelance,receita,1090.00,entrada
2025-06-04,Curso Online,educacao,79.00,saida
2025-06-05,Supermercado,alimentacao,181.00,saida
2025-06-06,Restaurante,alimentacao,103.00,saida
2025-06-07,Uber,transporte,57.00,saida
2025-06-08,Combustivel,transporte,105.00,saida
2025-06-09,Farmacia,saude,62.00,saida
2025-06-10,Academia,saude,98.00,saida
2025-06-10,Taxi,transporte,33.00,saida
2025-06-11,Aluguel,moradia,1206.00,saida
2025-06-12,Energia,moradia,203.00,saida
2025-06-13,Internet,moradia,93.00,saida
2025-06-14,Streaming,lazer,29.00,saida
2025-06-15,Cinema,lazer,45.00,saida
2025-06-16,Curso Online,educacao,89.00,saida
2025-06-17,Supermercado,alimentacao,191.00,saida
2025-06-17,Livro,educacao,52.00,saida
2025-06-17,Salario,receita,5044.00,entrada
2025-06-18,Restaurante,alimentacao,113.00,saida
2025-06-19,Uber,transporte,30.00,saida
2025-06-20,Combustivel,transporte,115.00,saida
2025-06-21,Farmacia,saude,72.00,saida
2025-06-22,Academia,saude,108.00,saida
2025-06-23,Aluguel,moradia,1216.00,saida
2025-06-24,Energia,moradia,176.00,saida
2025-06-24,Padaria,alimentacao,32.00,saida
2025-06-25,Internet,moradia,103.00,saida
2025-06-26,Streaming,lazer,39.00,saida
2025-06-27,Cinema,lazer,55.00,saida
2025-06-28,Curso Online,educacao,99.00,saida
2025-06-29,Supermercado,alimentacao,164.00,saida
2025-06-30,Restaurante,alimentacao,86.00,saida
2025-07-01,Uber,transporte,40.00,saida
2025-07-01,Cafe,alimentacao,16.00,saida
2025-07-01,Bonus,receita,1998.00,entrada
2025-07-02,Combustivel,transporte,125.00,saida
2025-07-03,Farmacia,saude,82.00,saida
2025-07-04,Academia,saude,81.00,saida
2025-07-05,Aluguel,moradia,1189.00,saida
2025-07-06,Energia,moradia,186.00,saida
2025-07-07,Internet,moradia,113.00,saida
2025-07-08,Streaming,lazer,49.00,saida
2025-07-08,Manutencao Casa,moradia,130.00,saida
2025-07-09,Cinema,lazer,65.00,saida
2025-07-10,Curso Online,educacao,72.00,saida
2025-07-11,Supermercado,alimentacao,174.00,saida
2025-07-12,Restaurante,alimentacao,96.00,saida
2025-07-13,Uber,transporte,50.00,saida
2025-07-14,Combustivel,transporte,135.00,saida
2025-07-15,Farmacia,saude,55.00,saida
2025-07-15,Taxi,transporte,40.00,saida
2025-07-15,Freelance,receita,1151.00,entrada
2025-07-16,Academia,saude,91.00,saida
2025-07-17,Aluguel,moradia,1199.00,saida
2025-07-18,Energia,moradia,196.00,saida
2025-07-19,Internet,moradia,123.00,saida
2025-07-20,Streaming,lazer,22.00,saida
2025-07-21,Cinema,lazer,38.00,saida
2025-07-22,Curso Online,educacao,82.00,saida
2025-07-22,Livro,educacao,59.00,saida
2025-07-23,Supermercado,alimentacao,184.00,saida
2025-07-24,Restaurante,alimentacao,106.00,saida
2025-07-25,Uber,transporte,60.00,saida
2025-07-26,Combustivel,transporte,108.00,saida
2025-07-27,Farmacia,saude,65.00,saida
2025-07-28,Academia,saude,101.00,saida
2025-07-29,Aluguel,moradia,1209.00,saida
2025-07-29,Padaria,alimentacao,18.00,saida
2025-07-29,Salario,receita,5105.00,entrada
2025-07-30,Energia,moradia,206.00,saida
2025-07-31,Internet,moradia,96.00,saida
2025-08-01,Streaming,lazer,32.00,saida
2025-08-02,Cinema,lazer,48.00,saida
2025-08-03,Curso Online,educacao,92.00,saida
2025-08-04,Supermercado,alimentacao,194.00,saida
2025-08-05,Restaurante,alimentacao,79.00,saida
2025-08-05,Cafe,alimentacao,23.00,saida
2025-08-06,Uber,transporte,33.00,saida
2025-08-07,Combustivel,transporte,118.00,saida
2025-08-08,Farmacia,saude,75.00,saida
2025-08-09,Academia,saude,111.00,saida
2025-08-10,Aluguel,moradia,1182.00,saida
2025-08-11,Energia,moradia,179.00,saida
2025-08-12,Internet,moradia,106.00,saida
2025-08-12,Manutencao Casa,moradia,137.00,saida
2025-08-12,Bonus,receita,1658.00,entrada
2025-08-13,Streaming,lazer,42.00,saida
2025-08-14,Cinema,lazer,58.00,saida
2025-08-15,Curso Online,educacao,102.00,saida
2025-08-16,Supermercado,alimentacao,167.00,saida
2025-08-17,Restaurante,alimentacao,89.00,saida
2025-08-18,Uber,transporte,43.00,saida
2025-08-19,Combustivel,transporte,128.00,saida
2025-08-19,Taxi,transporte,26.00,saida
2025-08-20,Farmacia,saude,85.00,saida
2025-08-21,Academia,saude,84.00,saida
2025-08-22,Aluguel,moradia,1192.00,saida
2025-08-23,Energia,moradia,189.00,saida
2025-08-24,Internet,moradia,116.00,saida
2025-08-25,Streaming,lazer,52.00,saida
2025-08-26,Cinema,lazer,31.00,saida
2025-08-26,Livro,educacao,66.00,saida
2025-08-26,Freelance,receita,1212.00,entrada
2025-08-27,Curso Online,educacao,75.00,saida
2025-08-28,Supermercado,alimentacao,177.00,saida
2025-08-29,Restaurante,alimentacao,99.00,saida
2025-08-30,Uber,transporte,53.00,saida
2025-08-31,Combustivel,transporte,138.00,saida
2025-09-01,Farmacia,saude,58.00,saida
2025-09-02,Academia,saude,94.00,saida
2025-09-02,Padaria,alimentacao,25.00,saida
2025-09-03,Aluguel,moradia,1202.00,saida
2025-09-04,Energia,moradia,199.00,saida
2025-09-05,Internet,moradia,126.00,saida
2025-09-06,Streaming,lazer,25.00,saida
2025-09-07,Cinema,lazer,41.00,saida
2025-09-08,Curso Online,educacao,85.00,saida
2025-09-09,Supermercado,alimentacao,187.00,saida
2025-09-09,Cafe,alimentacao,9.00,saida
2025-09-09,Salario,receita,5166.00,entrada
2025-09-10,Restaurante,alimentacao,109.00,saida
2025-09-11,Uber,transporte,26.00,saida
2025-09-12,Combustivel,transporte,111.00,saida
2025-09-13,Farmacia,saude,68.00,saida
2025-09-14,Academia,saude,104.00,saida
2025-09-15,Aluguel,moradia,1212.00,saida
2025-09-16,Energia,moradia,172.00,saida
2025-09-16,Manutencao Casa,moradia,144.00,saida
2025-09-17,Internet,moradia,99.00,saida
2025-09-18,Streaming,lazer,35.00,saida
2025-09-19,Cinema,lazer,51.00,saida
2025-09-20,Curso Online,educacao,95.00,saida
2025-09-21,Supermercado,alimentacao,197.00,saida
2025-09-22,Restaurante,alimentacao,82.00,saida
2025-09-23,Uber,transporte,36.00,saida
2025-09-23,Taxi,transporte,33.00,saida
2025-09-23,Bonus,receita,1719.00,entrada
2025-09-24,Combustivel,transporte,121.00,saida
2025-09-25,Farmacia,saude,78.00,saida
2025-09-26,Academia,saude,114.00,saida
2025-09-27,Aluguel,moradia,1185.00,saida
2025-09-28,Energia,moradia,182.00,saida
2025-09-29,Internet,moradia,109.00,saida
2025-09-30,Streaming,lazer,45.00,saida
2025-09-30,Livro,educacao,52.00,saida
2025-10-01,Cinema,lazer,61.00,saida
2025-10-02,Curso Online,educacao,68.00,saida
2025-10-03,Supermercado,alimentacao,170.00,saida
2025-10-04,Restaurante,alimentacao,92.00,saida
2025-10-05,Uber,transporte,46.00,saida
2025-10-06,Combustivel,transporte,131.00,saida
2025-10-07,Farmacia,saude,88.00,saida
2025-10-07,Padaria,alimentacao,32.00,saida
2025-10-07,Freelance,receita,1273.00,entrada
2025-10-08,Academia,saude,87.00,saida
2025-10-09,Aluguel,moradia,1195.00,saida
2025-10-10,Energia,moradia,192.00,saida
2025-10-11,Internet,moradia,119.00,saida
2025-10-12,Streaming,lazer,55.00,saida
2025-10-13,Cinema,lazer,34.00,saida
2025-10-14,Curso Online,educacao,78.00,saida
2025-10-14,Cafe,alimentacao,16.00,saida
2025-10-15,Supermercado,alimentacao,180.00,saida
2025-10-16,Restaurante,alimentacao,102.00,saida
2025-10-17,Uber,transporte,56.00,saida
2025-10-18,Combustivel,transporte,104.00,saida
2025-10-19,Farmacia,saude,61.00,saida
2025-10-20,Academia,saude,97.00,saida
2025-10-21,Aluguel,moradia,1205.00,saida
2025-10-21,Manutencao Casa,moradia,130.00,saida
2025-10-21,Salario,receita,4826.00,entrada
2025-10-22,Energia,moradia,202.00,saida
2025-10-23,Internet,moradia,92.00,saida
2025-10-24,Streaming,lazer,28.00,saida
2025-10-25,Cinema,lazer,44.00,saida
2025-10-26,Curso Online,educacao,88.00,saida
2025-10-27,Supermercado,alimentacao,190.00,saida
2025-10-28,Restaurante,alimentacao,112.00,saida
2025-10-28,Taxi,transporte,40.00,saida
2025-10-29,Uber,transporte,29.00,saida
2025-10-30,Combustivel,transporte,114.00,saida
2025-10-31,Farmacia,saude,71.00,saida
2025-11-01,Academia,saude,107.00,saida
2025-11-02,Aluguel,moradia,1215.00,saida
2025-11-03,Energia,moradia,175.00,saida
2025-11-04,Internet,moradia,102.00,saida
2025-11-04,Livro,educacao,59.00,saida
2025-11-04,Bonus,receita,1780.00,entrada
2025-11-05,Streaming,lazer,38.00,saida
2025-11-06,Cinema,lazer,54.00,saida
2025-11-07,Curso Online,educacao,98.00,saida
2025-11-08,Supermercado,alimentacao,163.00,saida
2025-11-09,Restaurante,alimentacao,85.00,saida
2025-11-10,Uber,transporte,39.00,saida
2025-11-11,Combustivel,transporte,124.00,saida
2025-11-11,Padaria,alimentacao,18.00,saida
2025-11-12,Farmacia,saude,81.00,saida
2025-11-13,Academia,saude,117.00,saida
2025-11-14,Aluguel,moradia,1188.00,saida
2025-11-15,Energia,moradia,185.00,saida
2025-11-16,Internet,moradia,112.00,saida
2025-11-17,Streaming,lazer,48.00,saida
2025-11-18,Cinema,lazer,64.00,saida
2025-11-18,Cafe,alimentacao,23.00,saida
2025-11-18,Freelance,receita,1334.00,entrada
2025-11-19,Curso Online,educacao,71.00,saida
2025-11-20,Supermercado,alimentacao,173.00,saida
2025-11-21,Restaurante,alimentacao,95.00,saida
2025-11-22,Uber,transporte,49.00,saida
2025-11-23,Combustivel,transporte,134.00,saida
2025-11-24,Farmacia,saude,54.00,saida
2025-11-25,Academia,saude,90.00,saida
2025-11-25,Manutencao Casa,moradia,137.00,saida
2025-11-26,Aluguel,moradia,1198.00,saida
2025-11-27,Energia,moradia,195.00,saida
2025-11-28,Internet,moradia,122.00,saida
2025-11-29,Streaming,lazer,21.00,saida
2025-11-30,Cinema,lazer,37.00,saida
2025-12-01,Curso Online,educacao,81.00,saida
2025-12-02,Supermercado,alimentacao,183.00,saida
2025-12-02,Taxi,transporte,26.00,saida
2025-12-02,Salario,receita,4887.00,entrada
2025-12-03,Restaurante,alimentacao,105.00,saida
2025-12-04,Uber,transporte,59.00,saida
2025-12-05,Combustivel,transporte,107.00,saida
2025-12-06,Farmacia,saude,64.00,saida
2025-12-07,Academia,saude,100.00,saida
2025-12-08,Aluguel,moradia,1208.00,saida
2025-12-09,Energia,moradia,205.00,saida
2025-12-09,Livro,educacao,66.00,saida
2025-12-10,Internet,moradia,95.00,saida
2025-12-11,Streaming,lazer,31.00,saida
2025-12-12,Cinema,lazer,47.00,saida
2025-12-13,Curso Online,educacao,91.00,saida
2025-12-14,Supermercado,alimentacao,193.00,saida
2025-12-15,Restaurante,alimentacao,78.00,saida
2025-12-16,Uber,transporte,32.00,saida
2025-12-16,Padaria,alimentacao,25.00,saida
2025-12-16,Bonus,receita,1841.00,entrada
2025-12-17,Combustivel,transporte,117.00,saida
2025-12-18,Farmacia,saude,74.00,saida
2025-12-19,Academia,saude,110.00,saida
2025-12-20,Aluguel,moradia,1218.00,saida
2025-12-21,Energia,moradia,178.00,saida
2025-12-22,Internet,moradia,105.00,saida
2025-12-23,Streaming,lazer,41.00,saida
2025-12-23,Cafe,alimentacao,9.00,saida
2025-12-24,Cinema,lazer,57.00,saida
2025-12-25,Curso Online,educacao,101.00,saida
2025-12-26,Supermercado,alimentacao,166.00,saida
2025-12-27,Restaurante,alimentacao,88.00,saida
2025-12-28,Uber,transporte,42.00,saida
2025-12-29,Combustivel,transporte,127.00,saida
2025-12-30,Farmacia,saude,84.00,saida
2025-12-30,Manutencao Casa,moradia,144.00,saida
2025-12-30,Freelance,receita,1395.00,entrada
2025-12-31,Academia,saude,83.00,saida
